1,RSA.L
2,NG.L
3,BA.L
4,AZN.L
5,ADN.L
6,ADM.L
7,AGK.L
8,AMEC.L
9,AAL.L
10,ANTO.L
11,ARM.L
12,ABF.L
13,AV.L
14,BAB.L
15,BARC.L
16,BG.L
17,BLT.L
18,BP.L
19,BATS.L
20,BLND.L
21,BSY.L
22,BT.A.L
23,BNZL.L
24,BRBY.L
25,CPI.L
26,CCL.L
27,CNA.L
28,CCH.L
29,CPG.L
30,CRH.L
31,CRDA.L
32,DGE.L
33,EZJ.L
34,EXPN.L
35,FRES.L
36,GFS.L
37,GKN.L
38,GSK.L
39,GLEN.L
40,HMSO.L
41,HL.L
42,HSBA.L
43,IMI.L
44,IMT.L
45,IHG.L
46,IAG.L
47,ITRK.L
48,ITV.L
49,JMAT.L
50,KGF.L
51,LAND.L
52,LGEN.L
53,LLOY.L
54,LSE.L
55,MKS.L
56,MGGT.L
57,MRO.L
58,MNDI.L
59,MRW.L
60,NXT.L
61,OML.L
62,PSON.L
63,PSN.L
64,PFC.L
65,PRU.L
66,RRS.L
67,RB.L
68,REL.L
69,RSL.L
70,REX.L
71,RIO.L
72,RR.L
73,RBS.L
74,RDSA.L
75,RDSB.L
76,SAB.L
77,SGE.L
78,SBRY.L
79,SDR.L
80,SVT.L
81,SHP.L
82,SN.L
83,SMIN.L
84,SPD.L
85,SSE.L
86,STAN.L
87,SL.L
88,TATE.L
89,TSCO.L
90,TPK.L
91,TT.L
92,TLW.L
93,ULVR.L
94,UU.L
95,VED.L
96,VOD.L
97,WEIR.L
98,WTB.L
99,WMH.L
100,WOS.L
